name,email,grade,blog
John,john@johndoe.com,A,https://blog.johndoe.com
Dawn,Dawn@Dawndoe.com,A,https://blog.Dawndoe.com
Greaves,Greaves@Greavesdoe.com,A,https://blog.Greavesdoe.com
Random,Random@Randomdoe.com,B,https://blog.Randomdoe.com
Names,Names@Namesdoe.com,C,https://blog.Namesdoe.com
Bernice,Bernice@Bernicedoe.com,A,https://blog.Bernicedoe.com
Melia,Melia@Meliadoe.com,B,https://blog.Meliadoe.com
Mila,mila@miladoe.com,A,https://blog.miladoe.com
Daniel,Daniel@Danieldoe.com,A,https://blog.Danieldoe.com
Ellen,Ellen@Ellendoe.com,B,https://blog.Ellendoe.com
Winters,Winters@Wintersdoe.com,A,https://blog.Wintersdoe.com
Thorpe,Thorpe@Thorpedoe.com,B,https://blog.Thorpedoe.com
Axel,Axel@Axeldoe.com,C,https://blog.Axeldoe.com
Walters,Walters@Waltersdoe.com,A,https://blog.Waltersdoe.com
Costa,Costa@Costadoe.com,A,https://blog.Costadoe.com
Cannon,Cannon@Cannondoe.com,A,https://blog.Cannondoe.com
Kobi,Kobi@Kobidoe.com,C,https://blog.Kobidoe.com
Harlen,Harlen@Harlendoe.com,C,https://blog.Harlendoe.com
Aguirre,Aguirre@Aguirredoe.com,A,https://blog.Aguirredoe.com
Dania,Dania@Daniadoe.com,A,https://blog.Daniadoe.com
Nettie,Nettie@Nettiedoe.com,A,https://blog.Nettiedoe.com
